PART_ID;PART_DESCRIPTION;Acting;Additional Feature;Application;Blow Characteristic;Body Breadth (mm);Body Height (mm);Body Length or Diameter (mm);Current Rating;Fuse Material;Fuse Size;JESD-609 Code;Joule-integral-Nom (J);LC Risk;Maximum AC Voltage Rating;Maximum DC Voltage Rating;Maximum Power Dissipation;Mounting;Mounting Feature;Number of Terminals;Operating Temperature-Max (Cel);Operating Temperature-Min (Cel);Physical Dimension;Pre-arcing time-Min (ms);Product Diameter;Product Length;Rated Breaking Capacity (A);Rated Current (A);Rated Voltage (V);Rated Voltage(AC) (V);Rated Voltage(DC) (V)
A17;Fuse Miniature Slow Blow Acting 6.3A 250V Holder Cartridge Melf 5 X 20mm Ceramic Bulk CCC/PSE/cULus Electric Fuse, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm;Slow Blow;RATED BREAKING CAPACITY AT 150 VDC: 1500 A;Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply;TIME LAG;;20mm;5.2mm;6.3A;Ceramic;5x20mm;e2;171J;Low;250V;150V;4W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;6.3A;250V;250V;150V
A18;;Slow Blow;;Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply;;;;;8A;Ceramic;5 X 20mm;;;;250V;150V;4W;Holder;;2;;;;;5.2mm;20mm;;;;;
A19;Fuse Miniature Slow Blow Acting 8A 250V Holder Cartridge Melf 5 X 20mm Ceramic Bulk KC/PSE/VDE/cULus Electric Fuse, Time Lag Blow, 8A, 250VAC, 150VDC, 1000A (IR), Inline/holder, 5x20mm;Slow Blow;RATED BREAKING CAPACITY AT 150 VDC: 1500 A;Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply;TIME LAG;;20mm;5.2mm;8A;Ceramic;5x20mm;e2;268J;Low;250V;150V;4W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1000A;8A;250V;250V;150V
A20;Fuse Miniature Slow Blow Acting 16A 250V Holder Cartridge 5 X 20mm Ceramic Box CCC/CSA/PSE/UL/VDE/cULus Electric Fuse, Time Lag Blow, 16A, 250VAC, 125VDC, 500A (IR), Inline/holder, 5x20mm;Slow Blow;RATED BREAKING CAPACITY AT 125 VDC: 1500 A;Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply;TIME LAG;;20mm;5.2mm;16A;Ceramic;5x20mm;e2;1500J;Low;250V;;4(Typ)W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;20ms;5.2mm;20mm;500A;16A;250V;250V;125V
A21;;Slow Blow;;Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply;;;;;2.5A;Ceramic;5 X 20mm;;;;250V;;;;;;;;;;;;;;;;
A22;Fuse Miniature Slow Blow Acting 6.3A 250V Holder Cartridge 6.3 X 32mm Glass Box UL Electric Fuse, Time Lag Blow, 6.3A, 250VAC, 1500A (IR), H, Inline/holder;Slow Blow;;Motor Circuit;TIME LAG;;31.8mm;6.35mm;6.3A;Glass;6.3 X 32mm;;224J;Low;250V;;1.9(Typ)W;Holder;INLINE/HOLDER;2;85Cel;-40Cel;6.35mm  x  31.8mm;15ms;6.35mm;31.8mm;1500A;6.3A;250V;250V;
A23;Fuse Miniature Slow Blow Acting 16A 250V Holder Cartridge 6.3 X 32mm Glass Box UL Electric Fuse, Time Lag Blow, 16A, 250VAC, 1000A (IR), H, Inline/holder;Slow Blow;;Motor Circuit;TIME LAG;;31.8mm;6.35mm;16A;Glass;6.3 X 32mm;e2;1690J;Low;250V;;3.8(Typ)W;Holder;INLINE/HOLDER;2;85Cel;-40Cel;6.35mm  x  31.8mm;15ms;6.35mm;31.8mm;1000A;16A;250V;250V;
A24;Fuse Miniature Slow Blow Acting 1A 250V Holder Cartridge Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Fuse, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;1A;Ceramic;5 X 20mm;e4;1.1J;Low;250V;300V;2.5W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;1A;;250V;300V
A25;Fuses PN Electric Fuse, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount;;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;;TIME LAG;;20mm;5.2mm;;;5 X 20mm;e4;1.1J;Low;;;;;SURFACE MOUNT;;125Cel;-55Cel;5.2mm  x  20mm;10ms;;;1500A;1A;;250V;300V
A26;Fuse Miniature Slow Blow Acting 1A 250V Holder Cartridge Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Fuse, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;1A;Ceramic;5 X 20mm;e4;1.1J;Low;250V;300V;2.5W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;1A;;250V;300V
A27;Fuse Miniature Slow Blow Acting 1.25A 250V Holder Cartridge Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Fuse, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;1.25A;Ceramic;5 X 20mm;e4;1.86J;Low;250V;300V;2.5W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;1.25A;;250V;300V
A28;Fuses PN Electric Fuse, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount;;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;;TIME LAG;;20mm;5.2mm;;;5 X 20mm;e4;1.86J;Low;;;;;SURFACE MOUNT;;125Cel;-55Cel;5.2mm  x  20mm;10ms;;;1500A;1.25A;;250V;300V
A29;Fuse Miniature Slow Blow Acting 1.25A 250V Holder Cartridge Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Fuse, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;1.25A;Ceramic;5 X 20mm;e4;1.86J;Low;250V;300V;2.5W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;1.25A;;250V;300V
A30;Fuse Miniature Slow Blow Acting 1.6A 250V Holder Cartridge Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Fuse, Time Lag Blow, 1.6A, 250VAC, 300VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;1.6A;Ceramic;5 X 20mm;e4;4.35J;Low;250V;300V;2.5W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;1.6A;;250V;300V
A31;Fuse Miniature Slow Blow Acting 1.6A 250V Holder Cartridge Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Fuse, Time Lag Blow, 1.6A, 250VAC, 300VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;1.6A;Ceramic;5 X 20mm;e4;4.35J;Low;250V;300V;2.5W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;1.6A;;250V;300V
A32;Fuse Miniature Slow Blow Acting 2A 250V Holder Cartridge Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Fuse, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;2A;Ceramic;5 X 20mm;e4;9.2J;Low;250V;300V;2.5W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;2A;;250V;300V
A33;Fuses PN Electric Fuse, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount;;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;;TIME LAG;;20mm;5.2mm;;;5 X 20mm;e4;9.2J;Low;;;;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;2A;;250V;300V
A34;Fuse Miniature Slow Blow Acting 2A 250V Holder Cartridge Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Fuse, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;2A;Ceramic;5 X 20mm;e4;9.2J;Low;250V;300V;2.5W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;2A;;250V;300V
A35;Fuse Miniature Slow Blow Acting 2.5A 250V Holder Cartridge Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Fuse, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;2.5A;Ceramic;5 X 20mm;e4;11.7J;Low;250V;300V;2.5W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;2.5A;;250V;300V
A36;Fuses PN Electric Fuse, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount;;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;;TIME LAG;;20mm;5.2mm;;;5 X 20mm;e4;11.7J;Low;;;;;SURFACE MOUNT;;125Cel;-55Cel;5.2mm  x  20mm;10ms;;;1500A;2.5A;;250V;300V
A37;Fuse Miniature Slow Blow Acting 2.5A 250V Holder Cartridge Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Fuse, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;2.5A;Ceramic;5 X 20mm;e4;11.7J;Low;250V;300V;2.5W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;2.5A;;250V;300V
A38;Fuse Miniature Slow Blow Acting 3.15A 250V Holder Cartridge Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Fuse, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;3.15A;Ceramic;5 X 20mm;e4;33.7J;Low;250V;300V;4W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;3.15A;;250V;300V
A39;Fuses PN Electric Fuse, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount;;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;;TIME LAG;;20mm;5.2mm;;;5 X 20mm;e4;33.7J;Low;;;;;SURFACE MOUNT;;125Cel;-55Cel;5.2mm  x  20mm;10ms;;;1500A;3.15A;;250V;300V
A40;Fuse Miniature Slow Blow Acting 3.15A 250V Holder Cartridge Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Fuse, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 300 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;3.15A;Ceramic;5 X 20mm;e4;33.7J;Low;250V;300V;4W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;3.15A;;250V;300V
A41;Fuse Miniature Slow Blow Acting 4A 250V Holder Cartridge Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Fuse, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 150 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;4A;Ceramic;5 X 20mm;e4;62.4J;Low;250V;150V;4W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;4A;;250V;150V
A42;Fuse Miniature Slow Blow Acting 4A 250V Holder Cartridge Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Fuse, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 150 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;4A;Ceramic;5 X 20mm;e4;62.4J;Low;250V;150V;4W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;4A;;250V;150V
A43;Fuse Miniature Slow Blow Acting 4A 250V Holder Cartridge Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Fuse, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 150 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;4A;Ceramic;5 X 20mm;e4;62.4J;Low;250V;150V;4W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;4A;;250V;150V
A44;Fuse Miniature Slow Blow Acting 5A 250V Holder Cartridge Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Fuse, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 150 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;5A;Ceramic;5 X 20mm;e4;97.5J;Low;250V;150V;4W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;5A;;250V;150V
A45;Fuses PN Electric Fuse, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Surface Mount;;RATED BREAKING CAPACITY AT 150 VDC: 1500 A;;TIME LAG;;20mm;5.2mm;;;5 X 20mm;e4;97.5J;Low;;;;;SURFACE MOUNT;;125Cel;-55Cel;5.2mm  x  20mm;10ms;;;1500A;5A;;250V;150V
A46;Fuse Miniature Slow Blow Acting 5A 250V Holder Cartridge Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Fuse, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 150 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;5A;Ceramic;5 X 20mm;e4;97.5J;Low;250V;150V;4W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;5A;;250V;150V
A47;Fuse Miniature Slow Blow Acting 6.3A 250V Holder Cartridge Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Fuse, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 150 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;6.3A;Ceramic;5 X 20mm;e4;171J;Low;250V;150V;4W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;6.3A;;250V;150V
A48;Fuses PN Electric Fuse, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Surface Mount;;RATED BREAKING CAPACITY AT 150 VDC: 1500 A;;TIME LAG;;20mm;5.2mm;;;5 X 20mm;e4;171J;Low;;;;;SURFACE MOUNT;;125Cel;-55Cel;5.2mm  x  20mm;10ms;;;1500A;6.3A;;250V;150V
A49;Fuse Miniature Slow Blow Acting 6.3A 250V Holder Cartridge Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Fuse, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 150 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;6.3A;Ceramic;5 X 20mm;e4;171J;Low;250V;150V;4W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1500A;6.3A;;250V;150V
A50;Fuse Miniature Slow Blow Acting 8A 250V Holder Cartridge Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Fuse, Time Lag Blow, 8A, 250VAC, 150VDC, 1000A (IR), Surface Mount;Slow Blow;RATED BREAKING CAPACITY AT 150 VDC: 1500 A;Motor Circuit;TIME LAG;;20mm;5.2mm;8A;Ceramic;5 X 20mm;e4;268J;Low;250V;150V;4W;Holder;SURFACE MOUNT;2;125Cel;-55Cel;5.2mm  x  20mm;10ms;5.2mm;20mm;1000A;8A;;250V;150V
